sizeVP,genVPTime
12.55,20.84
12.55,25.38
12.55,5.25
12.55,4.22
12.55,4.74
12.55,4.1
12.55,4.54
12.55,6.58
12.55,4.62
12.55,3.25
6.04,1.84
6.04,2.43
6.04,4.56
6.04,3.17
6.04,2.37
6.04,2.59
6.04,2.29
6.04,4.53
6.04,2.38
6.04,2.85
6.54,3.94
6.54,14.67
6.54,4.8
6.54,1.46
6.54,2.63
6.54,3.16
6.54,1.77
6.54,3.75
6.54,3.5
6.54,3.51
6.25,4.98
6.25,2.57
6.25,3.06
6.25,3.23
6.25,2.81
6.25,3.08
6.25,4.32
6.25,3.3
6.25,3.31
6.25,3.33
5.95,3.09
5.95,3.24
5.95,2.95
5.95,2.16
5.95,3.61
5.95,5.47
5.95,3.76
5.95,2.72
5.95,4.02
5.95,2.15
7.34,2.51
7.34,17.53
7.34,25.89
7.34,3.04
7.34,2.81
7.34,3.92
7.34,2.78
7.34,4.11
7.34,4.14
7.34,3.84
7.34,3.77
6.12,4.56
6.12,2.56
6.12,3.04
6.12,3.38
6.12,3.04
6.12,2.04
6.12,2.97
6.12,3.43
6.12,3.86
6.12,3.65
5.51,3.59
5.51,2.77
5.51,3.94
5.51,2.47
5.51,3.33
5.51,3.98
5.51,4.16
5.51,2.43
5.51,2.41
5.51,3.34
13.13,3.88
13.13,10.2
13.13,6.5
13.13,6.26
13.13,5.64
13.13,4.21
13.13,4.5
13.13,5.05
13.13,3.56
13.13,3.52
5.19,2.34
5.19,20.15
5.19,2.31
5.19,3.61
5.19,3.29
5.19,2.05
5.19,2.89
5.19,3.39
5.19,3.75
5.19,4.48
6.24,2.91
6.24,1.63
6.24,3.52
6.24,2.47
6.24,2.39
6.24,3.57
6.24,2.64
6.24,2.19
6.24,4.01
6.24,3.67
7.2,2.56
7.2,8.34
7.2,3.44
7.2,3.21
7.2,4.15
7.2,3.13
7.2,3.63
7.2,4
7.2,2.28
7.2,2.91
7.83,4.48
7.83,2.34
7.83,3.84
7.83,4.15
7.83,3.51
7.83,4.19
7.83,3.81
7.83,2.92
7.83,4.07
7.83,3.82
15.72,4.23
15.72,4.61
15.72,5.86
15.72,4.15
15.72,5.68
15.72,4.83
15.72,5.57
15.72,5.63
15.72,6.25
15.72,4.45
6.65,2.18
6.65,2.54
6.65,3.68
6.65,4.58
6.65,4.39
6.65,4.83
6.65,3.72
6.65,4.24
6.65,2.3
6.65,3.69
6.49,3.96
6.49,2.61
6.49,3.5
6.49,3.75
6.49,4.83
6.49,3.84
6.49,3.43
6.49,5.54
6.49,3.57
6.49,3.81
8.99,3.09
8.99,4.22
8.99,3.86
8.99,3.58
8.99,6.53
8.99,2.9
8.99,2.55
8.99,4.63
8.99,3.77
8.99,3.8
6.51,3.88
6.51,4.45
6.51,3.66
6.51,3.4
6.51,2.47
6.51,2.3
6.51,4.32
6.51,2.33
6.51,4.14
6.51,3.3
7.88,4.08
7.88,4.33
7.88,2.85
7.88,4.43
7.88,3.23
7.88,4.25
7.88,3.49
7.88,3.77
7.88,4.04
7.88,2.86
8.21,3.69
8.21,3.46
8.21,4.14
8.21,2.82
8.21,3.21
8.21,3.67
8.21,3.57
8.21,2.81
8.21,3.39
8.21,1.91
11.48,2.28
11.48,3.71
11.48,3.28
11.48,3.99
11.48,4.23
11.48,3.42
11.48,5.15
11.48,4.1
11.48,2.67
11.48,3.56
5.2,3.86
5.2,2.51
5.2,4.1
5.2,2.1
5.2,2.79
5.2,2.84
5.2,3.23
5.2,2.53
5.2,1.73
5.2,3.06
10.08,2.69
10.08,4.5
10.08,2.56
10.08,3.18
10.08,3.53
10.08,3.97
10.08,3.35
10.08,2.93
10.08,4.03
10.08,3.13
8.41,4.65
8.41,2.22
8.41,4.37
8.41,4.17
8.41,3.29
8.41,3.66
8.41,3.39
8.41,2.97
8.41,3.17
8.41,1.85
7.84,2.73
7.84,3.69
7.84,3.66
7.84,1.38
7.84,3.65
7.84,4.15
7.84,2.6
7.84,3.93
7.84,3.03
7.84,1.43
9.86,3.33
9.86,3.25
9.86,4.51
9.86,2.65
9.86,2.62
9.86,3.41
9.86,2.33
9.86,2.96
9.86,3.05
9.86,2.37
10.28,2.59
10.28,5.61
10.28,3.47
10.28,3.62
10.28,3.77
10.28,3.44
10.28,2.59
10.28,7.35
10.28,6
10.28,3.66
5.86,3.36
5.86,3.29
5.86,3.42
5.86,3.31
5.86,3.18
5.86,3.47
5.86,3.35
5.86,2.81
5.86,3.35
5.86,2.51
7.67,2.76
7.67,4.46
7.67,3.13
7.67,2.52
7.67,2.44
7.67,2.51
7.67,2.52
7.67,6.64
7.67,3.82
7.67,2.33
5.9,2.13
5.9,2.32
5.9,2.95
5.9,1.84
5.9,2.31
5.9,3.21
5.9,3.31
5.9,3.19
5.9,3.53
5.9,2
6.99,6.19
6.99,7.06
6.99,2.93
6.99,6.14
6.99,3.4
6.99,3.12
6.99,4.98
6.99,3.24
6.99,2.85
6.99,3.04
7.21,3.8
7.21,3.38
7.21,2.74
7.21,3.19
7.21,3.55
7.21,3.84
7.21,3.56
7.21,3.2
7.21,3.62
7.21,3.6
8.66,3.29
8.66,2.59
8.66,4.12
8.66,3.36
8.66,3.9
8.66,3.3
8.66,7.53
8.66,3.36
8.66,1.79
8.66,3.78
9.88,4.14
9.88,3.55
9.88,3.07
9.88,4.66
9.88,4.14
9.88,3.32
9.88,3.63
9.88,4.84
9.88,3.63
9.88,2.55
9.6,3.17
9.6,2.27
9.6,3.23
9.6,2.7
9.6,2.47
9.6,4.57
9.6,3.59
9.6,3.83
9.6,3
9.6,4.53
6.76,2.55
6.76,2.4
6.76,2.47
6.76,3.01
6.76,2.92
6.76,2.96
6.76,9.08
6.76,2.88
6.76,4.09
6.76,7.27
9.8,4.5
9.8,4.23
9.8,7.91
9.8,3.33
9.8,3.92
9.8,3.47
9.8,3.89
9.8,2.43
9.8,3.4
9.8,3.39
14.29,3.57
14.29,3.75
14.29,3.71
14.29,5.24
14.29,6.08
14.29,3.38
14.29,4.08
14.29,4.01
14.29,4.49
14.29,3.85
9.83,4.95
9.83,2.93
9.83,3.76
9.83,3.33
9.83,4.44
9.83,3.04
9.83,4.54
9.83,4.55
9.83,2.55
9.83,3.86
5,3.74
