sizeVP,genVPTime
12.54,14.61
12.54,15.18
12.54,3.19
12.54,1.73
12.54,1.4
12.54,1.98
12.54,1.34
12.54,1.34
12.54,1.59
12.54,1.41
6.03,3.55
6.03,1.14
6.03,1.15
6.03,1.31
6.03,1.72
6.03,1.21
6.03,1.22
6.03,2.08
6.03,1.47
6.03,1.3
6.53,1.6
6.53,11.62
6.53,1.34
6.53,1.11
6.53,1.19
6.53,1.47
6.53,1.28
6.53,1.36
6.53,1.12
6.53,1.08
6.24,1.15
6.24,1.17
6.24,1.31
6.24,1.15
6.24,1.07
6.24,1.21
6.24,1.11
6.24,1.58
6.24,1.29
6.24,1.22
5.94,1.11
5.94,1.08
5.94,1.05
5.94,1.04
5.94,1.02
5.94,1.04
5.94,1.31
5.94,1.94
5.94,1.1
5.94,1.04
7.33,1.2
7.33,1.57
7.33,1.1
7.33,1.33
7.33,1.09
7.33,1.09
7.33,1.14
7.33,1.44
7.33,1.12
7.33,1.14
6.12,1.11
6.12,1.27
6.12,1.03
6.12,1.06
6.12,1.81
6.12,1.33
6.12,1.09
6.12,1.06
6.12,1.06
6.12,1.83
5.5,1.09
5.5,1.14
5.5,1.37
5.5,1.06
5.5,1.03
5.5,1.03
5.5,1.04
5.5,1.06
5.5,1.43
5.5,1.08
13.12,1.57
13.12,2
13.12,1.58
13.12,1.32
13.12,1.22
13.12,1.25
13.12,1.35
13.12,1.81
13.12,1.41
13.12,1.34
5.18,2.7
5.18,1.08
5.18,1.2
5.18,0.99
5.18,1.45
5.18,1.3
5.18,1.03
5.18,1.11
5.18,0.98
5.18,1.07
6.23,1.38
6.23,1.28
6.23,1.15
6.23,1.11
6.23,1.16
6.23,1.12
6.23,1.09
6.23,1.41
6.23,1.51
6.23,1.38
7.19,1.13
7.19,1.62
7.19,1.18
7.19,1.12
7.19,1.22
7.19,1.36
7.19,1.09
7.19,1.12
7.19,1.1
7.19,1.08
7.82,1.09
7.82,1.14
7.82,1.38
7.82,1.14
7.82,1.27
7.82,1.14
7.82,1.35
7.82,1.16
7.82,1.42
7.82,1.23
15.72,1.36
15.72,1.32
15.72,1.31
15.72,1.52
15.72,1.33
15.72,1.46
15.72,1.29
15.72,1.42
15.72,1.49
15.72,1.35
6.65,1.31
6.65,1.18
6.65,1.15
6.65,1.17
6.65,1.16
6.65,1.08
6.65,1.25
6.65,1.06
6.65,1.06
6.65,1.26
6.48,1.05
6.48,1.07
6.48,1.43
6.48,1.41
6.48,1.08
6.48,1.26
6.48,1.13
6.48,1.08
6.48,1.05
6.48,1.06
8.98,1.44
8.98,1.3
8.98,1.35
8.98,1.35
8.98,1.17
8.98,1.13
8.98,1.16
8.98,1.16
8.98,1.47
8.98,1.26
6.51,1.06
6.51,1.07
6.51,1.14
6.51,1.09
6.51,1.19
6.51,1.1
6.51,1.08
6.51,1.4
6.51,1.16
6.51,1.14
7.87,1.13
7.87,1.15
7.87,1.15
7.87,1.15
7.87,1.78
7.87,1.13
7.87,1.31
7.87,1.12
7.87,1.14
7.87,1.11
8.2,1.12
8.2,1.16
8.2,1.62
8.2,1.18
8.2,1.09
8.2,1.25
8.2,1.13
8.2,1.12
8.2,1.11
8.2,1.09
11.47,1.19
11.47,1.13
11.47,1.18
11.47,1.22
11.47,1.25
11.47,1.15
11.47,1.19
11.47,1.28
11.47,1.19
11.47,1.43
5.19,1.07
5.19,1.15
5.19,1.12
5.19,1.01
5.19,1.15
5.19,1.03
5.19,1.03
5.19,1.28
5.19,1.07
5.19,1.05
10.08,1.2
10.08,1.24
10.08,1.25
10.08,1.17
10.08,1.16
10.08,1.22
10.08,1.3
10.08,1.18
10.08,1.18
10.08,1.13
8.4,1.12
8.4,1.2
8.4,1.18
8.4,1.11
8.4,1.29
8.4,1.21
8.4,1.16
8.4,1.12
8.4,1.14
8.4,1.11
7.83,1.15
7.83,1.13
7.83,1.26
7.83,1.45
7.83,1.08
7.83,1.14
7.83,1.09
7.83,1.09
7.83,1.22
7.83,1.12
9.85,1.32
9.85,1.22
9.85,1.12
9.85,1.13
9.85,1.18
9.85,1.73
9.85,1.24
9.85,1.29
9.85,1.21
9.85,1.19
10.27,1.2
10.27,1.2
10.27,1.27
10.27,1.21
10.27,1.17
10.27,1.18
10.27,1.18
10.27,1.92
10.27,1.17
10.27,1.17
5.85,1.05
5.85,1.08
5.85,1.09
5.85,1.07
5.85,1.16
5.85,1.29
5.85,1.07
5.85,1.08
5.85,1.11
5.85,1.24
7.67,1.26
7.67,4.1
7.67,1.14
7.67,1.14
7.67,1.36
7.67,2.11
7.67,1.16
7.67,1.13
7.67,1.17
7.67,1.26
5.89,1.13
5.89,1.12
5.89,1.05
5.89,1.03
5.89,1.12
5.89,1.03
5.89,1.43
5.89,1.02
5.89,1.28
5.89,1.04
6.98,1.44
6.98,1.05
6.98,1.06
6.98,1.45
6.98,1.08
6.98,1.67
6.98,1.17
6.98,1.06
6.98,1.05
6.98,1.11
7.2,1.06
7.2,1.16
7.2,1.24
7.2,1.07
7.2,1.18
7.2,1.11
7.2,1.14
7.2,1.08
7.2,1.07
7.2,1.54
8.66,1.41
8.66,1.13
8.66,1.13
8.66,1.16
8.66,2.14
8.66,1.32
8.66,1.57
8.66,1.37
8.66,1.14
8.66,1.12
9.88,1.17
9.88,1.21
9.88,1.11
9.88,1.1
9.88,1.11
9.88,1.24
9.88,1.25
9.88,1.19
