TX-TYPE,Time,Cost
CERTIFICATE,12165.69,0.00005740237546176
RA_SIGNATURE,10907.17,0.000066634891460028
CERTIFICATE,10930.77,0.00005740191487156
RA_SIGNATURE,12085.13,0.000066634673545065
CERTIFICATE,11066.9,0.00005740167049862
RA_SIGNATURE,11615.17,0.000066634297534062
CERTIFICATE,12942.15,0.00005739919501757
RA_SIGNATURE,23223.99,0.000066637019716944
CERTIFICATE,11744.47,0.0000574016718758
RA_SIGNATURE,11282.88,0.000066637109556351
CERTIFICATE,7839.32,0.0000574047460476
RA_SIGNATURE,15776.38,0.000066638263657443
CERTIFICATE,17494.55,0.00005740308830543
RA_SIGNATURE,14996.52,0.000066639212100456
CERTIFICATE,11891.54,0.00005740402195696
RA_SIGNATURE,34517.82,0.000066639224046477
CERTIFICATE,8390.01,0.000057405186094865
RA_SIGNATURE,14743.59,0.00006663779882844
CERTIFICATE,23797.09,0.00005739962485075
RA_SIGNATURE,22920.46,0.000066635864327991
CERTIFICATE,10541.9,0.000061623219455343
RA_SIGNATURE,11448.12,0.000083442346000961
CERTIFICATE,11012.28,0.000057421277603388
RA_SIGNATURE,11773.64,0.000066636751086903
CERTIFICATE,11175.61,0.000057422099884684
RA_SIGNATURE,23584.9,0.000066635797670082
CERTIFICATE,11639.26,0.000057422086912171
RA_SIGNATURE,11220.63,0.00006663749906769
CERTIFICATE,11000.95,0.000057423401689757
RA_SIGNATURE,14498.36,0.000066637901546457
CERTIFICATE,7224.69,0.000057420771216177
RA_SIGNATURE,14537.63,0.000066635282969772
CERTIFICATE,11945.99,0.000057420855594912
RA_SIGNATURE,11317.74,0.000066635406426792
CERTIFICATE,11100.76,0.00005742033646479
RA_SIGNATURE,11755.38,0.000066634977169398
CERTIFICATE,11022.76,0.00005742108152328
RA_SIGNATURE,11128.08,0.000066635712582438
CERTIFICATE,10903.74,0.000057421331368523
RA_SIGNATURE,10926.46,0.000066639381254337
CERTIFICATE,11095.56,0.000061622738273304
RA_SIGNATURE,10634.98,0.000083425526716566
CERTIFICATE,10537.83,0.00005741987534744
RA_SIGNATURE,14371.26,0.000066619627327665
CERTIFICATE,10426.18,0.00005742337486459
RA_SIGNATURE,10682.82,0.000066620510916759
CERTIFICATE,14329.03,0.000057420824981312
RA_SIGNATURE,7916.33,0.000066621380165622
CERTIFICATE,11079.5,0.000057421652390386
RA_SIGNATURE,14335.31,0.000066622387755537
CERTIFICATE,11493.68,0.000057422742464148
RA_SIGNATURE,11421.58,0.000066619283561694
CERTIFICATE,10984.45,0.000057422430014093
RA_SIGNATURE,10803.6,0.000066619553229072
CERTIFICATE,10905.15,0.000057421776452
RA_SIGNATURE,10510.42,0.000066619910447334
CERTIFICATE,15062.13,0.000057421107047369
RA_SIGNATURE,10773.55,0.000066618645310422
CERTIFICATE,10638.96,0.000057418567649249
RA_SIGNATURE,10602.82,0.000066615762835197
CERTIFICATE,12103.38,0.00006161761179756
RA_SIGNATURE,11724.95,0.000079234581247182
CERTIFICATE,10471.56,0.000057416726011607
