TX-TYPE,Time,Cost
CERTIFICATE,90.03,0.000057566409410258
RA_SIGNATURE,77.57,0.00006680007813921
CERTIFICATE,66.82,0.000057527624466413
RA_SIGNATURE,70.07,0.000066760669338324
CERTIFICATE,59.8,0.00005749790635248
RA_SIGNATURE,112.29,0.000066730473186312
CERTIFICATE,67.89,0.000057475135497596
RA_SIGNATURE,68.87,0.000066707336064252
CERTIFICATE,58.69,0.000057457687850281
RA_SIGNATURE,65.98,0.000066689607776415
CERTIFICATE,65.34,0.000057444318967695
RA_SIGNATURE,69.63,0.000066676023834615
CERTIFICATE,63.18,0.000057434075350999
RA_SIGNATURE,69.75,0.000066665615461263
CERTIFICATE,68.29,0.000057426226406629
RA_SIGNATURE,73.82,0.000066657640248186
CERTIFICATE,72.84,0.000057420212326642
RA_SIGNATURE,68.07,0.0000666515294289
CERTIFICATE,61.67,0.000057415604176235
RA_SIGNATURE,65.64,0.000066646847144553
CERTIFICATE,73.89,0.000061630923727365
RA_SIGNATURE,67.02,0.000083428221648615
CERTIFICATE,72.03,0.000057427371770714
RA_SIGNATURE,79.11,0.00006662250925383
CERTIFICATE,60.54,0.000057425297852773
RA_SIGNATURE,70.63,0.000066620403201414
CERTIFICATE,94.75,0.000057423708738367
RA_SIGNATURE,77.2,0.000066618789467172
CERTIFICATE,74.59,0.000057422491121656
RA_SIGNATURE,94.82,0.000066617552987385
CERTIFICATE,60.76,0.000057421558147589
RA_SIGNATURE,70.58,0.000066616605565779
CERTIFICATE,101.9,0.000057420843287264
RA_SIGNATURE,73.39,0.000066615879611856
CERTIFICATE,88.74,0.000057420295514774
RA_SIGNATURE,72.82,0.000066615323344722
CERTIFICATE,72.63,0.000057419875785539
RA_SIGNATURE,70.55,0.00006661489710714
CERTIFICATE,70.74,0.00005741955420366
RA_SIGNATURE,64.25,0.000066614570567763
CERTIFICATE,77.94,0.000061619366890137
RA_SIGNATURE,68.59,0.000083432527486733
CERTIFICATE,58.35,0.000057419119086267
RA_SIGNATURE,57.12,0.000066632128868097
CERTIFICATE,55.2,0.000057418974391647
RA_SIGNATURE,61.58,0.000066631981879008
CERTIFICATE,68.06,0.000057418863535663
RA_SIGNATURE,62.1,0.000066631869271773
CERTIFICATE,80.41,0.000057418778556283
RA_SIGNATURE,72.18,0.00006663178296177
CERTIFICATE,86.55,0.000057418713481983
RA_SIGNATURE,73,0.000066631716863322
